anime_id,status,type,episodes,start_year,rating,source,genres,themes,demographics
29933,finished_airing,special,2.0,,pg_13,,[],['Music'],[]
4266,finished_airing,ona,8.0,2003.0,pg_13,original,"['Drama', 'Sci-Fi']",['Vampire'],[]
39658,finished_airing,music,1.0,2019.0,g,music,[],['Music'],[]
34936,finished_airing,ona,1.0,2013.0,g,game,['Fantasy'],"['Music', 'Strategy Game']",[]
32790,finished_airing,music,1.0,2011.0,pg,music,['Supernatural'],"['Music', 'Vampire']",[]
29812,finished_airing,movie,1.0,1958.0,g,original,['Drama'],[],[]
36089,finished_airing,music,1.0,2012.0,g,original,[],['Music'],[]
32861,finished_airing,music,1.0,2013.0,g,music,[],['Music'],[]
35406,finished_airing,movie,1.0,,g,original,['Avant Garde'],[],[]
29871,finished_airing,music,1.0,2011.0,g,original,['Sci-Fi'],['Music'],[]
7162,finished_airing,ova,3.0,1989.0,r+,,"['Comedy', 'Hentai']",['Parody'],[]
30863,finished_airing,movie,1.0,,g,original,['Avant Garde'],[],[]
38045,finished_airing,ona,1.0,2018.0,g,original,[],['Historical'],[]
32850,finished_airing,music,1.0,2010.0,g,music,[],['Music'],[]
40204,finished_airing,ona,1.0,2015.0,pg_13,original,['Avant Garde'],[],[]
28049,finished_airing,movie,1.0,1933.0,g,original,"['Adventure', 'Comedy']",[],[]
22417,finished_airing,music,1.0,2000.0,pg_13,music,['Action'],['Music'],[]
24315,finished_airing,music,1.0,2008.0,g,original,[],['Music'],['Kids']
9317,finished_airing,ova,1.0,2001.0,rx,,['Hentai'],[],[]
50201,finished_airing,ona,12.0,2018.0,pg_13,web_manga,"['Boys Love', 'Comedy', 'Drama', 'Romance', 'Slice of Life']",['School'],[]
25049,finished_airing,ona,3.0,2014.0,g,original,"['Action', 'Comedy', 'Fantasy']",[],[]
35981,finished_airing,ona,2.0,2013.0,g,original,['Slice of Life'],[],[]
17048,finished_airing,special,1.0,,pg_13,manga,"['Action', 'Sci-Fi']",['Super Power'],[]
35516,finished_airing,tv,4.0,2017.0,g,original,['Comedy'],['Music'],[]
34992,finished_airing,movie,1.0,,g,original,[],[],['Kids']
6073,finished_airing,movie,1.0,1981.0,g,,"['Comedy', 'Sci-Fi']",['Space'],[]
37147,finished_airing,music,1.0,2017.0,r+,music,"['Avant Garde', 'Ecchi']",['Music'],[]
31898,finished_airing,tv,26.0,2011.0,g,original,['Comedy'],['Racing'],['Kids']
37626,finished_airing,ona,1.0,2013.0,pg_13,other,['Comedy'],[],[]
39996,finished_airing,music,1.0,2013.0,g,original,['Avant Garde'],['Music'],[]
8732,finished_airing,music,1.0,1975.0,g,other,[],['Music'],['Kids']
35432,finished_airing,movie,1.0,2015.0,pg,original,['Fantasy'],[],[]
14209,finished_airing,ova,2.0,1985.0,rx,,['Hentai'],[],[]
19209,finished_airing,movie,1.0,,g,,"['Avant Garde', 'Fantasy']",[],[]
31057,finished_airing,ona,3.0,2015.0,g,,['Fantasy'],[],[]
36672,finished_airing,music,1.0,2013.0,g,music,[],['Music'],[]
32059,finished_airing,ona,1.0,2016.0,g,original,"['Action', 'Sci-Fi']",[],[]
38813,finished_airing,music,1.0,2018.0,g,original,[],['Music'],[]
8778,finished_airing,music,1.0,1970.0,g,music,[],['Music'],['Kids']
